p,Tp1,Tp2,Tp,Ts,speedup,e
1,1452,1471,1461.5,1206.3,0.8253848785,#DIV/0!
2,1499,1441,1470,1206.3,0.8206122449,1.4372046755
3,1475,1494,1484.5,1206.3,0.812596834,1.3459338473
4,1525,1578,1551.5,1206.3,0.7775056397,1.3815524054
5,1670,1630,1650,1206.3,0.7310909091,1.4597736881
6,1961,1969,1965,1206.3,0.6138931298,1.7547376275
7,1865,1892,1878.5,1206.3,0.6421612989,1.6501146757
8,1880,1856,1868,1206.3,0.6457708779,1.6268992551
9,1963,1935,1949,1206.3,0.618932786,1.6926448645
10,2123,2000,2061.5,1206.3,0.5851564395,1.7877163411
11,2260,2220,2240,1206.3,0.5385267857,1.9426096328
12,2189,2177,2183,1206.3,0.5525881814,1.8832719134
13,2263,2219,2241,1206.3,0.5382864793,1.9292257316
14,2431,2366,2398.5,1206.3,0.5029393371,2.0643353165
15,2577,2544,2560.5,1206.3,0.4711189221,2.2027924823
16,2614,2632,2623,1206.3,0.459893252,2.2527121501
17,2682,2847,2764.5,1206.3,0.436353771,2.3724508829
18,2948,2830,2889,1206.3,0.417549325,2.4769811431
19,3015,2948,2981.5,1206.3,0.4045950025,2.5533633609
20,3080,3128,3104,1206.3,0.3886275773,2.6559553572
