p,Tp1,Tp2,Tp,Ts,speedup,e
1,5402,5199,5300.5,4401.7,0.8304310914,#DIV/0!
2,5918,4604,5261,4401.7,0.8366660331,1.3904400573
3,4645,4790,4717.5,4401.7,0.9330577636,1.1076175114
4,4214,4202,4208,4401.7,1.0460313688,0.9413256999
5,5779,4004,4891.5,4401.7,0.8998671164,1.1390939864
6,8320,8131,8225.5,4401.7,0.5351285636,2.04245178
7,8044,7521,7782.5,4401.7,0.5655894635,1.8960780305
8,7488,7611,7549.5,4401.7,0.5830452348,1.8172946167
9,7757,8299,8028,4401.7,0.5482934728,1.9268208874
10,8556,8470,8513,4401.7,0.5170562669,2.0378061002
11,9334,6844,8089,4401.7,0.5441587341,1.9214689779
12,9917,10049,9983,4401.7,0.4409195633,2.3832589475
13,10006,9650,9828,4401.7,0.4478734229,2.3355048428
14,10074,9987,10030.5,4401.7,0.4388315637,2.3771462424
15,10308,9977,10142.5,4401.7,0.4339857037,2.3973821803
16,10095,10017,10056,4401.7,0.4377187749,2.3702099946
17,10361,6893,8627,4401.7,0.5102237162,2.0199198605
18,10942,10724,10833,4401.7,0.4063232715,2.5470413169
19,8222,8184,8203,4401.7,0.5365963672,1.9115758306
20,8603,8787,8695,4401.7,0.5062334675,2.0267085803
