p,Tp1,Tp2,Tp,Ts,speedup,e
1,7616,7632,7624,5307.5,0.696156873,#DIV/0!
2,7065,6301,6683,5307.5,0.7941792608,1.5183231276
3,5702,5708,5705,5307.5,0.930324277,1.1123410268
4,5804,5496,5650,5307.5,0.939380531,1.0860417648
5,6045,5943,5994,5307.5,0.8854688021,1.1616815827
6,7813,7840,7826.5,5307.5,0.6781447646,1.5695336788
7,7759,7684,7721.5,5307.5,0.6873664443,1.5306327524
8,7829,7929,7879,5307.5,0.6736260947,1.5537177848
9,7869,8226,8047.5,5307.5,0.6595215906,1.5807819124
10,8837,8795,8816,5307.5,0.6020303993,1.7344952112
11,8777,8748,8762.5,5307.5,0.6057061341,1.7160621762
12,8797,8855,8826,5307.5,0.6013482891,1.7231961632
13,9258,9014,9136,5307.5,0.5809435201,1.7814492071
14,9769,9951,9860,5307.5,0.5382860041,1.9237291206
15,7906,10180,9043,5307.5,0.5869180582,1.754087881
16,8372,11446,9909,5307.5,0.53562418,1.9247794002
17,12560,12414,12487,5307.5,0.4250420437,2.4372527084
18,12929,13387,13158,5307.5,0.4033667731,2.5661411432
19,10262,13260,11761,5307.5,0.4512796531,2.283472026
20,13339,13420,13379.5,5307.5,0.3966889645,2.6009123138
